timestamp,233353/cpu`idle,233354/cpu`idle,233355/cpu`idle,233356/cpu`idle,233357/cpu`idle,233358/cpu`idle,233359/cpu`idle,233360/cpu`idle,233361/cpu`idle,233362/cpu`idle
1505694720,32652180,34465606,34370992,34423924,34433412,34403606,34375814,34389494,34371197,34388252
1505694780,32657732,34471081,34376295,34429449,34438853,34408978,34381158,34395004,34376695,34393550
1505694840,32663285,34476586,34381806,34434976,34444367,34414494,34386676,34400516,34382177,34399081
1505694900,32668835,34482089,34387318,34440504,34449885,34420009,34392188,34406029,34387695,34404612
1505694960,32674389,34487596,34392831,34446032,34455400,34425527,34397706,34411540,34393204,34410143
1505695020,32679941,34493099,34398344,34451554,34460915,34431044,34403224,34417048,34398716,34415675
1505695080,32685494,34498606,34403855,34457082,34466435,34436561,34408743,34422560,34404229,34421205
1505695140,32691049,34504114,34409368,34462613,34471957,34442079,34414263,34428069,34409746,34426737
1505695200,32696600,34509620,34414880,34468142,34477471,34447596,34419784,34433575,34415260,34432267
1505695260,32702152,34515128,34420390,34473675,34482992,34453109,34425303,34439086,34420777,34437798
1505695320,32707704,34520634,34425900,34479202,34488517,34458625,34430824,34444598,34426288,34443327
1505695380,32713253,34526135,34431411,34484729,34494037,34464139,34436342,34450111,34431805,34448855
1505695440,32718807,34531640,34436921,34490258,34499560,34469656,34441861,34455627,34437314,34454385
1505695500,32724362,34537146,34442431,34495786,34505084,34475171,34447384,34461139,34442826,34459916
1505695560,32729912,34542654,34447945,34501310,34510610,34480687,34452905,34466648,34448341,34465443
1505695620,32735463,34548166,34453459,34506839,34516133,34486208,34458428,34472159,34453854,34470970
1505695680,32741015,34553672,34458969,34512365,34521655,34491727,34463945,34477670,34459368,34476503
1505695740,32746566,34559180,34464478,34517890,34527181,34497248,34469461,34483179,34464883,34482032
1505695800,32752119,34564686,34469992,34523417,34532709,34502766,34474982,34488687,34470396,34487558
1505695860,32757672,34570191,34475505,34528943,34538237,34508283,34480504,34494197,34475912,34493087
1505695920,32763225,34575699,34481019,34534472,34543765,34513802,34486028,34499711,34481427,34498622
1505695980,32768776,34581205,34486531,34539997,34549294,34519318,34491549,34505222,34486940,34504152
1505696040,32774329,34586714,34492044,34545523,34554816,34524836,34497067,34510735,34492454,34509680
1505696100,32779881,34592222,34497554,34551050,34560336,34530349,34502583,34516243,34497967,34515209
1505696160,32785433,34597729,34503066,34556574,34565861,34535866,34508097,34521751,34503479,34520734
1505696220,32790988,34603237,34508578,34562100,34571385,34541383,34513613,34527259,34508994,34526264
1505696280,32796540,34608744,34514091,34567627,34576907,34546898,34519125,34532765,34514508,34531792
1505696340,32802093,34614249,34519603,34573154,34582433,34552414,34524642,34538275,34520021,34537323
1505696400,32807645,34619755,34525115,34578681,34587958,34557927,34530156,34543784,34525467,34542852
1505696460,32813031,34624980,34530273,34584153,34593331,34563439,34535336,34548940,34530663,34548065
1505696520,32818268,34630322,34535740,34589355,34598652,34568812,34540794,34554373,34536177,34553525
1505696580,32823818,34635790,34541236,34594863,34604177,34574055,34546310,34559884,34541691,34559043
1505696640,32829367,34641299,34546746,34600391,34609701,34579573,34551823,34565393,34547188,34564568
1505696700,32834915,34646810,34552257,34605917,34615220,34585089,34557342,34570902,34552701,34570101
1505696760,32840465,34652318,34557767,34611443,34620745,34590604,34562859,34576415,34558216,34575631
1505696820,32846018,34657824,34563278,34616970,34626272,34596121,34568380,34581921,34563732,34581157
1505696880,32851569,34663328,34568791,34622498,34631796,34601635,34573897,34587430,34569246,34586687
1505696940,32857120,34668836,34574304,34628025,34637322,34607153,34579414,34592946,34574762,34592217
1505697000,32862671,34674329,34579812,34633554,34642847,34612673,34584926,34598457,34580276,34597748
1505697060,32868225,34679836,34585321,34639080,34648376,34618191,34590438,34603969,34585788,34603278
1505697120,32873778,34685346,34590832,34644606,34653901,34623709,34595958,34609477,34591303,34608809
1505697180,32879332,34690855,34596347,34650137,34659431,34629226,34601477,34614989,34596820,34614339
1505697240,32884879,34696358,34601862,34655669,34664956,34634746,34606996,34620496,34602339,34619869
1505697300,32890432,34701862,34607374,34661199,34670478,34640246,34612512,34625973,34607856,34625400
1505697360,32895986,34707372,34612885,34666725,34676003,34645761,34618032,34631467,34613370,34630931
1505697420,32901541,34712880,34618397,34672251,34681522,34651279,34623550,34636974,34618885,34636462
1505697480,32907095,34718390,34623908,34677778,34687041,34656796,34629067,34642483,34624399,34641988
1505697540,32912647,34723901,34629424,34683309,34692562,34662316,34634590,34647994,34629916,34647518
1505697600,32918204,34729412,34634938,34688839,34698083,34667837,34640105,34653502,34635433,34653051
1505697660,32923760,34734924,34640454,34694368,34703602,34673355,34645629,34659015,34640948,34658581
1505697720,32929313,34740435,34645967,34699900,34709122,34678875,34651150,34664531,34646464,34664111
1505697780,32934867,34745942,34651479,34705430,34714640,34684389,34656668,34670047,34651977,34669642
1505697840,32940422,34751451,34656992,34710961,34720154,34689903,34662188,34675559,34657492,34675174
1505697900,32945978,34756924,34662506,34716480,34725671,34695420,34667710,34681071,34663010,34680703
1505697960,32951532,34762433,34668020,34722008,34731189,34700936,34673231,34686584,34668527,34686233
1505698020,32957087,34767945,34673532,34727538,34736707,34706454,34678754,34692094,34674042,34691764
1505698080,32962640,34773457,34679048,34733068,34742226,34711967,34684276,34697608,34679558,34697294
1505698140,32968191,34778968,34684560,34738603,34747746,34717480,34689797,34703121,34685076,34702824
1505698200,32973747,34784477,34690076,34744137,34753264,34722997,34695317,34708438,34690556,34708354
1505698260,32979302,34789987,34695587,34749470,34758600,34728344,34700597,34713752,34695730,34713885
1505698320,32984555,34795198,34700902,34754818,34763923,34733612,34705968,34719265,34701245,34719379
1505698380,32989952,34800568,34706188,34760346,34769438,34739130,34711486,34724773,34706763,34724557
1505698440,32995502,34806081,34711699,34765876,34774956,34744644,34717001,34730285,34712273,34730087
1505698500,33001055,34811594,34717209,34771406,34780474,34750159,34722515,34735797,34717789,34735614
1505698560,33006606,34817098,34722721,34776938,34785991,34755678,34728033,34741309,34723300,34741143
1505698620,33012156,34822610,34728234,34782466,34791519,34761194,34733551,34746821,34728815,34746673
1505698680,33017708,34828123,34733747,34787994,34797046,34766679,34739071,34752326,34734329,34752202
1505698740,33023260,34833635,34739256,34793512,34802569,34772192,34744588,34757834,34739842,34757729
1505698800,33028813,34839145,34744767,34799040,34808093,34777710,34750105,34763343,34745356,34763256
1505698860,33034365,34844655,34750276,34804570,34813618,34783226,34755621,34768853,34750872,34768784
1505698920,33039920,34850162,34755782,34810098,34819143,34788742,34761140,34774367,34756388,34774314
1505698980,33045474,34855669,34761289,34815625,34824665,34794255,34766662,34779877,34761903,34779844
1505699040,33051027,34861177,34766800,34821151,34830188,34799771,34772180,34785384,34767419,34785374
1505699100,33056580,34866690,34772311,34826682,34835707,34805290,34777700,34790894,34772931,34790906
1505699160,33062134,34872198,34777822,34832208,34841222,34810802,34783218,34796399,34778446,34796436
1505699220,33067688,34877711,34783328,34837734,34846746,34816316,34788736,34801914,34783958,34801968
1505699280,33073239,34883220,34788840,34843261,34852273,34821831,34794255,34807428,34789473,34807495
1505699340,33078794,34888726,34794352,34848787,34857788,34827350,34799778,34812935,34794983,34813025
1505699400,33084345,34894233,34799865,34854317,34863305,34832867,34805297,34818446,34800492,34818554
1505699460,33089896,34899738,34805373,34859846,34868821,34838380,34810814,34823958,34806006,34824085
1505699520,33095449,34905248,34810882,34865375,34874341,34843893,34816332,34829464,34811519,34829616
1505699580,33101004,34910758,34816393,34870902,34879866,34849411,34821846,34834972,34817033,34835146
1505699640,33106558,34916266,34821904,34876426,34885386,34854927,34827362,34840481,34822548,34840674
1505699700,33112114,34921775,34827412,34881956,34890905,34860442,34832875,34845990,34828058,34846202
1505699760,33117667,34927280,34832920,34887487,34896420,34865955,34838393,34851500,34833570,34851731
1505699820,33123219,34932791,34838431,34893020,34901934,34871473,34843910,34857010,34839082,34857261
1505699880,33128770,34938302,34843943,34898550,34907456,34876992,34849431,34862523,34844597,34862795
1505699940,33134322,34943813,34849450,34904084,34912979,34882512,34854950,34868035,34850110,34868337
1505700000,33139872,34949317,34854961,34909613,34918346,34888028,34860468,34873535,34855623,34873876
1505700060,33145343,34954601,34860425,34915144,34923621,34893540,34865958,34879040,34861121,34879407
1505700120,33150520,34959854,34865587,34920461,34929143,34898788,34871110,34884224,34866267,34884787
1505700180,33156048,34965360,34871100,34925815,34934662,34904156,34876622,34889611,34871781,34890063
1505700240,33161602,34970870,34876615,34931346,34940184,34909678,34882142,34895127,34877297,34895592
1505700300,33167156,34976381,34882128,34936878,34945704,34915189,34887662,34900630,34882812,34901121
1505700360,33172689,34981889,34887641,34942409,34951227,34920711,34893167,34906145,34888329,34906652
1505700420,33178243,34987387,34893151,34947943,34956752,34926230,34898688,34911661,34893840,34912182
1505700480,33183798,34992900,34898662,34953478,34962262,34931752,34904210,34917180,34899356,34917715
1505700540,33189350,34998413,34904175,34959012,34967782,34937274,34909729,34922695,34904872,34923250
1505700600,33194906,35003926,34909687,34964547,34973304,34942795,34915248,34928211,34910389,34928784
1505700660,33200462,35009435,34915201,34970082,34978836,34948314,34920767,34933724,34915902,34934319
1505700720,33206016,35014911,34920712,34975616,34984362,34953840,34926284,34939240,34921414,34939855
1505700780,33211570,35020422,34926212,34981147,34989884,34959361,34931801,34944752,34926910,34945391
1505700840,33217124,35025936,34931723,34986678,34995402,34964882,34937321,34950261,34932427,34950927
1505700900,33222676,35031450,34937233,34992210,35000919,34970401,34942842,34955773,34937940,34956465
1505700960,33228230,35036964,34942748,34997744,35006437,34975924,34948358,34961285,34943458,34961999
1505701020,33233783,35042475,34948259,35003278,35011952,34981446,34953874,34966799,34948971,34967531
1505701080,33239338,35047988,34953770,35008808,35017474,34986968,34959390,34972310,34954487,34973065
1505701140,33244891,35053503,34959279,35014342,35022997,34992493,34964907,34977828,34959999,34978605
1505701200,33250445,35059024,34964787,35019876,35028519,34998013,34970422,34983345,34965514,34984143
1505701260,33255998,35064538,34970299,35025410,35034040,35003533,34975938,34988862,34971029,34989678
1505701320,33261554,35070048,34975807,35030944,35039568,35009050,34981454,34994377,34976544,34995209
1505701380,33267107,35075562,34981314,35036475,35045091,35014569,34986974,34999891,34982057,35000745
1505701440,33272660,35081073,34986824,35042001,35050616,35020090,34992490,35005401,34987572,35006280
1505701500,33278211,35086585,34992332,35047535,35056143,35025609,34998004,35010915,34993090,35011813
1505701560,33283762,35092100,34997845,35053070,35061672,35031125,35003516,35016425,34998603,35017346
1505701620,33289316,35097614,35003354,35058604,35067202,35036648,35009028,35021942,35004116,35022883
1505701680,33294871,35103131,35008866,35064138,35072729,35042168,35014542,35027457,35009636,35028412
1505701740,33300424,35108643,35014377,35069673,35078252,35047678,35020050,35032973,35015148,35033945
1505701800,33305977,35114155,35019885,35075158,35083781,35053200,35025559,35038318,35020557,35039477
1505701860,33311346,35119405,35025241,35080357,35089153,35058549,35030701,35043585,35025793,35045010
1505701920,33316608,35124745,35030510,35085890,35094475,35063826,35036209,35049095,35031304,35050233
1505701980,33322161,35130258,35036021,35091423,35099999,35069345,35041722,35054609,35036816,35055697
1505702040,33327712,35135771,35041533,35096953,35105525,35074865,35047238,35060122,35042329,35061228
1505702100,33333263,35141281,35047044,35102484,35111054,35080387,35052756,35065633,35047844,35066761
1505702160,33338815,35146792,35052554,35108013,35116574,35085908,35058273,35071144,35053357,35072296
1505702220,33344366,35152302,35058062,35113544,35122101,35091428,35063788,35076655,35058872,35077831
1505702280,33349919,35157815,35063570,35119079,35127626,35096952,35069303,35082168,35064384,35083367
1505702340,33355471,35163329,35069081,35124613,35133152,35102472,35074814,35087681,35069896,35088901
1505702400,33361022,35168843,35074587,35130143,35138677,35107993,35080326,35093196,35075408,35094433
1505702460,33366577,35174357,35080098,35135678,35144203,35113514,35085843,35098711,35080916,35099964
1505702520,33372131,35179868,35085609,35141211,35149724,35119035,35091361,35104228,35086429,35105495
1505702580,33377686,35185380,35091121,35146744,35155247,35124557,35096881,35109744,35091946,35111031
1505702640,33383239,35190896,35096634,35152281,35160771,35130083,35102397,35115263,35097461,35116565
1505702700,33388794,35196415,35102147,35157815,35166293,35135607,35107917,35120778,35102975,35122099
1505702760,33394347,35201926,35107658,35163346,35171815,35141127,35113434,35126288,35108490,35127632
1505702820,33399900,35207441,35113169,35168877,35177335,35146649,35118950,35131802,35114004,35133166
1505702880,33405456,35212954,35118679,35174408,35182856,35152170,35124469,35137317,35119514,35138696
1505702940,33411009,35218472,35124186,35179942,35188379,35157693,35129986,35142833,35125027,35144229
1505703000,33416561,35223987,35129698,35185477,35193903,35163214,35135508,35148343,35130542,35149765
1505703060,33422115,35229500,35135210,35191010,35199426,35168729,35141024,35153854,35136061,35155298
1505703120,33427668,35235013,35140722,35196541,35204948,35174251,35146543,35159362,35141577,35160829
1505703180,33433223,35240524,35146231,35202072,35210470,35179774,35152055,35164872,35147090,35166361
1505703240,33438777,35246025,35151741,35207603,35215993,35185294,35157570,35170383,35152605,35171895
1505703300,33444331,35251502,35157255,35213136,35221516,35190817,35163089,35175897,35158120,35177400
1505703360,33449883,35257014,35162763,35218667,35227038,35196332,35168607,35181407,35163636,35182930
1505703420,33455436,35262525,35168276,35224198,35232556,35201854,35174124,35186911,35169152,35188463
1505703480,33460988,35268040,35173788,35229730,35238078,35207375,35179645,35192425,35174667,35193995
1505703540,33466539,35273554,35179300,35235267,35243601,35212896,35185162,35197937,35180183,35199528
1505703600,33472087,35279067,35184746,35240795,35249117,35218417,35190647,35203443,35185563,35205064
1505703660,33477316,35284577,35189925,35246236,35254331,35223936,35195828,35208604,35190833,35210598
1505703720,33482723,35289886,35195438,35251482,35259760,35229361,35201349,35214040,35196337,35215955
1505703780,33488272,35295160,35200950,35257015,35265277,35234562,35206870,35219550,35201848,35221273
1505703840,33493826,35300673,35206461,35262547,35270793,35240083,35212383,35225059,35207363,35226809
1505703900,33499378,35306185,35211974,35268079,35276304,35245604,35217895,35230572,35212881,35232344
1505703960,33504930,35311696,35217485,35273612,35281826,35251126,35223413,35236084,35218396,35237881
1505704020,33510484,35317203,35222993,35279143,35287344,35256646,35228927,35241597,35223910,35243418
1505704080,33516029,35322712,35228504,35284666,35292866,35262158,35234444,35247103,35229426,35248951
1505704140,33521578,35328222,35234016,35290197,35298388,35267679,35239958,35252614,35234938,35254487
1505704200,33527133,35333735,35239525,35295728,35303909,35273200,35245472,35258114,35240452,35260020
1505704260,33532688,35339251,35245035,35301260,35309431,35278723,35250985,35263613,35245970,35265555
1505704320,33538245,35344751,35250546,35306793,35314950,35284244,35256500,35269105,35251487,35271090
1505704380,33543803,35350264,35256053,35312322,35320476,35289755,35262020,35274620,35257006,35276622
1505704440,33549360,35355779,35261564,35317854,35325996,35295279,35267531,35280135,35262524,35282152
1505704500,33554916,35361296,35267078,35323388,35331513,35300800,35273048,35285650,35267979,35287680
1505704560,33560466,35366815,35272592,35328923,35337028,35306322,35278553,35291159,35273492,35293214
1505704620,33566018,35372334,35278105,35334458,35342549,35311849,35284073,35296668,35279009,35298748
1505704680,33571571,35377850,35283614,35339991,35348069,35317374,35289589,35302183,35284523,35304283
1505704740,33577124,35383369,35289125,35345528,35353587,35322901,35295111,35307696,35290039,35309820
1505704800,33582677,35388886,35294637,35351058,35359107,35328428,35300637,35313205,35295556,35315356
1505704860,33588233,35394394,35300148,35356593,35364624,35333949,35306162,35318717,35301074,35320889
1505704920,33593785,35399903,35305659,35362122,35370146,35339465,35311684,35324231,35306589,35326421
1505704980,33599336,35405414,35311169,35367656,35375670,35344983,35317202,35329741,35312104,35331950
1505705040,33604889,35410925,35316680,35373185,35381188,35350505,35322723,35335250,35317617,35337481
1505705100,33610443,35416439,35322196,35378714,35386703,35356027,35328241,35340758,35323135,35343010
1505705160,33615982,35421954,35327709,35384247,35392221,35361550,35333758,35346265,35328649,35348539
1505705220,33621534,35427465,35333219,35389775,35397736,35367071,35339274,35351771,35334162,35354069
1505705280,33627084,35432977,35338728,35395305,35403256,35372590,35344791,35357282,35339677,35359597
1505705340,33632637,35438488,35344200,35400834,35408773,35378108,35350306,35362787,35345191,35365128
1505705400,33638189,35443999,35349711,35406358,35414288,35383626,35355820,35368296,35350569,35370655
1505705460,33643726,35449508,35355221,35411760,35419696,35389141,35361063,35373801,35355837,35375949
1505705520,33648907,35454666,35360628,35417035,35424935,35394352,35366454,35378979,35361351,35381328
1505705580,33654376,35460108,35365857,35422562,35430453,35399773,35371970,35384381,35366869,35386856
1505705640,33659925,35465617,35371368,35428090,35435972,35405294,35377487,35389889,35372382,35392385
1505705700,33665478,35471126,35376881,35433620,35441497,35410812,35383008,35395396,35377897,35397916
1505705760,33671029,35476635,35382393,35439148,35447009,35416332,35388532,35400901,35383412,35403449
1505705820,33676583,35482147,35387904,35444678,35452533,35421854,35394056,35406407,35388928,35408984
1505705880,33682135,35487662,35393417,35450207,35458059,35427375,35399578,35411918,35394440,35414517
1505705940,33687688,35493175,35398929,35455735,35463584,35432895,35405096,35417419,35399951,35420047
1505706000,33693243,35498682,35404438,35461263,35469108,35438415,35410616,35422927,35405467,35425577
1505706060,33698794,35504194,35409951,35466792,35474636,35443936,35416137,35428436,35410981,35431107
1505706120,33704347,35509708,35415463,35472325,35480160,35449459,35421658,35433944,35416496,35436638
1505706180,33709899,35515214,35420975,35477853,35485677,35454979,35427176,35439446,35422011,35442169
1505706240,33715448,35520725,35426481,35483381,35491200,35460499,35432689,35444953,35427526,35447698
1505706300,33721001,35526239,35431992,35488913,35496726,35466019,35438203,35450459,35433041,35453230
1505706360,33726553,35531746,35437504,35494441,35502250,35471538,35443714,35455962,35438556,35458760
1505706420,33732107,35537256,35443013,35499967,35507772,35477024,35449228,35461469,35444069,35464290
1505706480,33737659,35542762,35448520,35505495,35513298,35482543,35454734,35466977,35449582,35469819
1505706540,33743210,35548268,35454030,35511023,35518821,35488061,35460246,35472488,35455094,35475347
1505706600,33748761,35553776,35459539,35516553,35524341,35493582,35465759,35478001,35460606,35480877
1505706660,33754314,35559290,35465051,35522084,35529861,35499104,35471272,35483514,35466121,35486409
1505706720,33759867,35564804,35470560,35527615,35535381,35504620,35476787,35489026,35471633,35491940
1505706780,33765418,35570317,35476068,35533146,35540909,35510139,35482302,35494534,35477146,35497471
1505706840,33770970,35575831,35481580,35538676,35546435,35515660,35487817,35500047,35482659,35503000
1505706900,33776524,35581344,35487091,35544205,35551959,35521180,35493332,35505561,35488173,35508531
1505706960,33782080,35586854,35492604,35549735,35557484,35526699,35498848,35511074,35493688,35514063
1505707020,33787632,35592366,35498114,35555266,35563010,35532221,35504369,35516586,35499200,35519591
1505707080,33793184,35597879,35503625,35560795,35568531,35537743,35509885,35522101,35504715,35525123
1505707140,33798738,35603393,35509135,35566326,35574048,35543265,35515396,35527611,35510229,35530655
1505707200,33804288,35608902,35514646,35571857,35579566,35548788,35520911,35533124,35515745,35536184
1505707260,33809840,35614170,35520159,35577386,35584921,35554113,35526367,35538615,35521042,35541443
1505707320,33815190,35619492,35525508,35582547,35590195,35559411,35531550,35543754,35526392,35546870
1505707380,33820480,35625005,35530791,35588072,35595718,35564933,35537067,35549240,35531907,35552371
1505707440,33826034,35630519,35536303,35593602,35601243,35570456,35542579,35554748,35537422,35557902
1505707500,33831587,35636027,35541810,35599131,35606765,35575976,35548093,35560257,35542926,35563434
1505707560,33837140,35641538,35547320,35604660,35612282,35581497,35553609,35565770,35548439,35568965
1505707620,33842694,35647044,35552821,35610180,35617807,35587017,35559121,35571282,35553953,35574495
1505707680,33848244,35652555,35558334,35615708,35623331,35592528,35564633,35576795,35559464,35580016
1505707740,33853785,35658049,35563846,35621234,35628858,35598044,35570145,35582298,35564978,35585545
1505707800,33859339,35663560,35569356,35626764,35634386,35603566,35575660,35587808,35570490,35591078
1505707860,33864897,35669068,35574868,35632294,35639911,35609084,35581178,35593319,35576003,35596606
1505707920,33870452,35674576,35580382,35637824,35645434,35614597,35586689,35598827,35581518,35602136
1505707980,33876005,35680082,35585898,35643352,35650959,35620108,35592193,35604335,35587031,35607666
1505708040,33881558,35685592,35591408,35648880,35656488,35625619,35597707,35609843,35592545,35613197
1505708100,33887108,35691097,35596922,35654406,35662020,35631133,35603221,35615342,35598059,35618728
1505708160,33892661,35696607,35602437,35659934,35667550,35636645,35608737,35620847,35603574,35624256
1505708220,33898214,35702119,35607953,35665463,35673076,35642157,35614257,35626349,35609086,35629787
1505708280,33903768,35707592,35613425,35670991,35678602,35647671,35619776,35631860,35614599,35635315
1505708340,33909319,35713100,35618937,35676520,35684128,35653183,35625293,35637370,35620114,35640841
1505708400,33914872,35718610,35624449,35682049,35689649,35658695,35630805,35642879,35625630,35646369
1505708460,33920424,35724122,35629960,35687577,35695145,35664208,35636319,35648387,35631144,35651897
1505708520,33925975,35729633,35635471,35693105,35700673,35669718,35641835,35653889,35636654,35657425
1505708580,33931525,35735145,35640985,35698634,35706199,35675226,35647353,35659401,35642168,35662951
1505708640,33937077,35740660,35646495,35704161,35711721,35680730,35652869,35664914,35647680,35668479
1505708700,33942629,35746172,35652008,35709691,35717241,35686237,35658388,35670429,35653194,35674010
1505708760,33948181,35751682,35657520,35715220,35722761,35691743,35663903,35675934,35658707,35679540
1505708820,33953735,35757192,35663031,35720748,35728283,35697246,35669423,35681441,35664220,35685073
1505708880,33959287,35762701,35668543,35726274,35733806,35702752,35674941,35686945,35669732,35690600
1505708940,33964838,35768211,35674057,35731804,35739329,35708260,35680457,35692456,35675248,35696130
1505709000,33970249,35773716,35679567,35737330,35744846,35713767,35685966,35697957,35680760,35701658
1505709060,33975437,35779227,35684724,35742653,35750263,35719274,35691134,35703320,35686032,35707189
1505709120,33980989,35784431,35690209,35748009,35755477,35724478,35696607,35708556,35691403,35712639
1505709180,33986540,35789819,35695720,35753534,35760996,35729834,35702117,35714062,35696917,35717863
1505709240,33992092,35795328,35701231,35759063,35766512,35735344,35707630,35719563,35702431,35723392
1505709300,33997643,35800838,35706743,35764590,35772031,35740856,35713143,35725074,35707945,35728921
1505709360,34003195,35806344,35712255,35770118,35777551,35746362,35718659,35730583,35713461,35734449
1505709420,34008746,35811855,35717767,35775644,35783070,35751876,35724172,35736094,35718975,35739978
1505709480,34014300,35817368,35723282,35781171,35788588,35757391,35729686,35741605,35724488,35745508
1505709540,34019852,35822881,35728794,35786699,35794105,35762906,35735194,35747115,35730003,35751038
1505709600,34025405,35828393,35734306,35792226,35799626,35768419,35740705,35752625,35735516,35756568
1505709660,34030955,35833905,35739820,35797758,35805148,35773934,35746220,35758138,35741032,35762097
1505709720,34036506,35839415,35745334,35803288,35810669,35779445,35751732,35763645,35746545,35767627
1505709780,34042060,35844921,35750845,35808813,35816192,35784959,35757244,35769154,35752058,35773157
1505709840,34047612,35850429,35756355,35814344,35821710,35790474,35762759,35774663,35757572,35778685
1505709900,34053163,35855935,35761867,35819875,35827222,35795987,35768274,35780174,35763087,35784216
1505709960,34058712,35861445,35767378,35825406,35832738,35801501,35773787,35785688,35768601,35789745
1505710020,34064264,35866955,35772888,35830938,35838255,35807013,35779301,35791205,35774116,35795272
1505710080,34069818,35872466,35778400,35836465,35843771,35812528,35784815,35796719,35779630,35800803
1505710140,34075371,35877977,35783913,35841995,35849286,35818041,35790331,35802229,35785142,35806331
1505710200,34080924,35883489,35789424,35847523,35854805,35823553,35795848,35807742,35790656,35811831
1505710260,34086475,35889000,35794937,35853053,35860325,35829071,35801366,35813256,35796172,35817362
1505710320,34092027,35894510,35800449,35858583,35865839,35834584,35806878,35818765,35801684,35822888
1505710380,34097579,35900022,35805959,35864111,35871353,35840101,35812392,35824279,35807195,35828415
1505710440,34103132,35905532,35811474,35869639,35876870,35845615,35817909,35829794,35812708,35833946
1505710500,34108683,35911043,35816988,35875170,35882390,35851132,35823423,35835308,35818223,35839476
1505710560,34114236,35916555,35822500,35880696,35887907,35856646,35828938,35840820,35823737,35845006
1505710620,34119789,35922065,35828013,35886222,35893427,35862161,35834454,35846335,35829252,35850534
1505710680,34125343,35927577,35833526,35891750,35898943,35867674,35839966,35851849,35834766,35856065
1505710740,34130896,35933085,35839036,35897277,35904461,35873186,35845479,35857363,35840276,35861597
1505710800,34136447,35938593,35844548,35902802,35909883,35878697,35850994,35862878,35845788,35867126
1505710860,34141996,35944103,35849965,35908331,35915102,35884205,35856510,35868389,35851116,35872580
1505710920,34147191,35949242,35855137,35913714,35920621,35889417,35861895,35873621,35856430,35877780
1505710980,34152640,35954689,35860651,35918997,35926140,35894768,35867143,35879027,35861939,35883310
1505711040,34158191,35960201,35866159,35924526,35931657,35900278,35872657,35884526,35867454,35888843
1505711100,34163745,35965715,35871671,35930060,35937174,35905793,35878173,35890031,35872967,35894375
